,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
521,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719,380605377.9,439295017.9,FALSE,,12,,,,2024-05-08T16:34:00.000Z,34.49360344,367049893.1,-4.3338,0.45988455,-6.39826273,6.80642569,-30.90574368,-19.92528294,-3.89636884,13128450971,0.5719,24688752473,,2024-05-08T16:34:00.000Z,,,,,,35:48.4
522,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87502570047,87502570047,TRUE,,13,71659659264,8827555709,,2024-05-08T16:34:00.000Z,0.123187241,390456863.7,39.5431,0.47047377,2.30222098,2.8960527,0.25658981,-9.5155557,0.27661315,10779200176,0.4696,10779200176,,2024-05-08T16:34:00.000Z,,,,,,35:48.4
523,6636,Polkadot,DOT,polkadot-new,755,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431,1437953431,TRUE,,14,1442886104,10297869519,,2024-05-08T16:35:00.000Z,7.136994036,187808602.4,7.8309,0.84342525,-0.81951285,9.66245519,-21.31584915,-33.1351272,2.02995441,10262665064,0.4469,10262665064,,2024-05-08T16:35:00.000Z,,,,,,35:48.4
524,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000,19702965.63,19702965.63,FALSE,,15,,,,2024-05-08T16:34:00.000Z,459.6050409,375735190.6,2.4128,-0.03611051,-6.19204886,13.34590612,-32.5700563,6.62854047,88.75129428,9055582323,0.3945,9651705860,,2024-05-08T16:34:00.000Z,,,,,,35:48.4
525,1,Bitcoin,BTC,bitcoin,11025,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19695550,19695550,FALSE,,1,,,,2024-05-08T16:36:00.000Z,62237.28719,25464631058,-0.284,-0.00398491,-2.02954102,8.95137798,-13.51725068,-8.91246966,37.77714792,1.2258E+12,53.3919,1.30698E+12,,2024-05-08T16:36:00.000Z,,,,,,36:52.0
526,1027,Ethereum,ETH,ethereum,8902,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120103321.1,120103321.1,TRUE,,2,,,,2024-05-08T16:35:00.000Z,3007.70932,11572511876,0.394,0.28181519,-1.82494311,3.75779155,-17.68941393,-23.03797955,23.54557761,3.61236E+11,15.7366,3.61236E+11,,2024-05-08T16:35:00.000Z,,,,,,36:52.0
527,825,Tether USDt,USDT,tether,84919,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,1.10956E+11,1.13087E+11,TRUE,,3,,,,2024-05-08T16:35:00.000Z,0.999745327,45479083929,-0.4726,-0.0232789,-0.03756528,0.10164511,-0.01597217,-0.25475668,-0.03019665,1.10928E+11,4.8324,1.13058E+11,,2024-05-08T16:35:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,36:52.0
528,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587159.9,147587159.9,FALSE,,4,,,,2024-05-08T16:35:00.000Z,582.7420337,1562779591,4.4623,0.15452206,-1.73903695,6.45043152,-1.39026267,19.85435546,82.78147237,86005241689,3.7461,86005241689,,2024-05-08T16:35:00.000Z,,,,,,36:52.0
529,5426,Solana,SOL,solana,656,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,448097180.9,575545576.2,TRUE,,5,,,,2024-05-08T16:35:00.000Z,145.7702086,2375438625,-11.1359,0.07270558,-5.53274394,16.23918197,-19.66443595,-0.44462327,40.22278855,65319219509,2.8459,83897398673,,2024-05-08T16:35:00.000Z,,,,,,36:52.0
530,3408,USDC,USDC,usd-coin,18943,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33172705107,33172705107,FALSE,,6,,,,2024-05-08T16:35:00.000Z,1.000002357,5403568533,-2.1347,-0.00906625,-0.01263122,-0.01789852,0.00555725,0.00242174,-0.00618386,33172783292,1.4453,33172783292,,2024-05-08T16:35:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,36:52.0
531,52,XRP,XRP,xrp,1314,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",1E+11,55235913166,99987652657,FALSE,,7,,,,2024-05-08T16:36:00.000Z,0.528728772,1159118209,-22.3921,0.78101211,-2.24859331,5.45154208,-14.62794099,-15.14983958,2.4793392,29204816560,1.2724,52872877238,,2024-05-08T16:36:00.000Z,,,,,,36:52.0
532,74,Dogecoin,DOGE,dogecoin,962,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,1.44208E+11,1.44208E+11,TRUE,,8,,,,2024-05-08T16:36:00.000Z,0.14831358,1126886821,-6.2169,0.57160303,-5.12533228,20.47985622,-26.9910253,-15.09924916,84.47698682,21388064979,0.9313,21388064979,,2024-05-08T16:36:00.000Z,,,,,,36:52.0
533,11419,Toncoin,TON,toncoin,312,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3473406564,5106325407,TRUE,,9,3414166606,19801103277,,2024-05-08T16:35:00.000Z,5.799688639,199659898.5,24.1486,0.28716539,-0.80436664,23.87017042,-5.00288711,101.6305687,180.0223703,20144676588,0.8772,29615097450,,2024-05-08T16:35:00.000Z,,,,,,36:52.0
534,2010,Cardano,ADA,cardano,1162,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35658625186,36855324087,FALSE,,10,,,,2024-05-08T16:35:00.000Z,0.466848533,454608215.5,46.4059,2.90151408,3.35604997,7.28281915,-23.41351001,-36.65557187,-11.66199872,16647176855,0.7249,21008183982,,2024-05-08T16:35:00.000Z,,,,,,36:52.0
